Incident Number,Highest Offense Description,Highest Offense Code,Family Violence,Occurred Date Time,Occurred Date,Occurred Time,Report Date Time,Report Date,Report Time,Location Type,Address,Zip Code,Council District,APD Sector,APD District,PRA,Census Tract,Clearance Status,Clearance Date,UCR Category,Category Description,X-coordinate,Y-coordinate,Latitude,Longitude,Location
20191541998,ASSAULT WITH INJURY,900,N,06/03/2019 10:55:00 PM,06/03/2019,2255,06/03/2019 10:55:00 PM,06/03/2019,2255,TRANSPORTATION (AIR / BUS / TRAIN - TERMINALS),ROBERT DEDMAN DR / RED RIVER ST,78705,1,UT,B,386,4.01,N,06/05/2019,,,3118143,3118143,30.28023536,-97.73034306,"(30.28023536, -97.73034306)"
20191520506,DWI,2100,N,06/01/2019 08:35:00 AM,06/01/2019,835,06/01/2019 08:35:00 AM,06/01/2019,835,STREETS / HWY / ROAD / ALLEY,205 W 33RD ST,78705,9,BA,1,346,5,,,,,3115698,3115698,30.29824618,-97.73760677,"(30.29824618, -97.73760677)"
20192571568,DWI 2ND,2102,N,09/14/2019 08:00:00 PM,09/14/2019,2000,09/14/2019 08:00:00 PM,09/14/2019,2000,STREETS / HWY / ROAD / ALLEY,1030 E 32ND ST,78705,9,BA,1,348,4.01,C,09/14/2019,,,3120211,3120211,30.28941246,-97.72354159,"(30.28941246, -97.72354159)"
20195023311,FALSE STATEMENT -OBTAIN CREDIT,1105,N,01/08/2019 12:00:00 PM,01/08/2019,1200,06/07/2019 01:18:00 PM,06/07/2019,1318,RESIDENCE / HOME,404 W 35TH ST,78705,9,BA,1,346,5,N,06/07/2019,,,3115675,3115675,30.30076834,-97.73761183,"(30.30076834, -97.73761183)"
20198003454,THEFT OF BICYCLE,609,N,09/10/2019 12:15:00 AM,09/10/2019,15,09/10/2019 02:41:00 PM,09/10/2019,1441,RESIDENCE / HOME,3506 SPEEDWAY,78705,9,BA,1,346,5,N,09/18/2019,23H,Theft,3116746,3116746,30.30005911,-97.73423629,"(30.30005911, -97.73423629)"
20198003425,THEFT OF BICYCLE,609,N,09/15/2019 12:25:00 AM,09/15/2019,25,09/15/2019 12:44:00 AM,09/15/2019,44,SCHOOLS / COLLEGES,201 E 21ST ST,78705,9,UT,B,362,6.01,,,23H,Theft,3116032,3116032,30.28281197,-97.73696336,"(30.28281197, -97.73696336)"
20198003337,THEFT OF BICYCLE,609,N,08/12/2019 02:00:00 PM,08/12/2019,1400,09/06/2019 04:48:00 PM,09/06/2019,1648,RESIDENCE / HOME,914 W 26TH ST,78705,9,BA,3,356,6.03,N,09/17/2019,23H,Theft,3112679,3112679,30.29115779,-97.74736546,"(30.29115779, -97.74736546)"
20195037841,THEFT OF BICYCLE,609,N,09/09/2019 05:00:00 PM,09/09/2019,1700,09/13/2019 03:11:00 PM,09/13/2019,1511,RESIDENCE / HOME,2810 SALADO ST,78705,9,BA,3,356,6.03,N,09/16/2019,23H,Theft,3113273,3113273,30.29439644,-97.74539607,"(30.29439644, -97.74539607)"
20195038734,THEFT,600,N,09/19/2019 12:01:00 AM,09/19/2019,1,09/19/2019 04:40:00 PM,09/19/2019,1640,PARKING LOTS / GARAGE,2815 GUADALUPE ST,78705,9,BA,1,361,6.01,N,09/20/2019,23H,Theft,3114325,3114325,30.29420541,-97.742067,"(30.29420541, -97.742067)"
20191530671,BURGLARY OF RESIDENCE,500,N,06/01/2019 11:30:00 PM,06/01/2019,2330,06/02/2019 09:42:00 AM,06/02/2019,942,RESIDENCE / HOME,2100 SAN ANTONIO ST,78705,9,BA,1,359,6.04,N,09/18/2019,220,Burglary,3114074,3114074,30.28418269,-97.7431315,"(30.28418269, -97.7431315)"
