Incident Number,Highest Offense Description,Highest Offense Code,Family Violence,Occurred Date Time,Occurred Date,Occurred Time,Report Date Time,Report Date,Report Time,Location Type,Address,Zip Code,Council District,APD Sector,APD District,PRA,Census Tract,Clearance Status,Clearance Date,UCR Category,Category Description,X-coordinate,Y-coordinate,Latitude,Longitude,Location
20201721484,DISTURBANCE - OTHER,3401,N,06/20/2020 09:58:00 PM,06/20/2020,2158,06/20/2020 09:58:00 PM,06/20/2020,2158,RESIDENCE / HOME,305 W 35TH ST,78705,9,BA,1,346,5,N,06/26/2020,,,3115927,3115927,30.29971311,-97.73684148,"(30.29971311, -97.73684148)"
20205008960,BURGLARY OF VEHICLE,601,N,02/02/2020 12:00:00 PM,02/02/2020,1200,03/03/2020 10:23:00 AM,03/03/2020,1023,RESIDENCE / HOME,2401 SAN GABRIEL ST,78705,9,BA,3,356,,N,03/04/2020,23F,Theft,3112672,3112672,30.28842038,-97.74746098,"(30.28842038, -97.74746098)"
20205031128,CRIMINAL MISCHIEF,1400,N,07/27/2020 12:00:00 AM,07/27/2020,0,08/11/2020 08:12:00 AM,08/11/2020,812,RESIDENCE / HOME,100 W 33RD ST,78705,9,BA,1,346,5,N,08/11/2020,,,3116379,3116379,30.29793583,-97.73545668,"(30.29793583, -97.73545668)"
20205008891,FRAUD - OTHER,1199,N,02/28/2020 12:00:00 AM,02/28/2020,0,03/02/2020 04:38:00 PM,03/02/2020,1638,OTHER / UNKNOWN,2704 RIO GRANDE ST,78705,9,BA,3,356,,N,03/03/2020,,,3113552,3113552,30.29296019,-97.74455033,"(30.29296019, -97.74455033)"
20205008800,THEFT OF BICYCLE,609,N,02/28/2020 02:00:00 PM,02/28/2020,1400,03/02/2020 12:30:00 PM,03/02/2020,1230,RESIDENCE / HOME,900 W 26TH ST,78705,9,BA,3,356,,N,03/03/2020,23H,Theft,3112953,3112953,30.29099459,-97.74650145,"(30.29099459, -97.74650145)"
20218006139,BURGLARY OF VEHICLE,601,N,07/01/2021 07:00:00 PM,07/01/2021,1900,07/02/2021 04:14:00 PM,07/02/2021,1614,RESIDENCE / HOME,2401 LONGVIEW ST,78705,9,BA,3,356,6,N,07/08/2021,23F,Theft,3111713,3111713,30.2886878,-97.75049307,"(30.2886878, -97.75049307)"
20211310038,CRIMINAL TRESPASS,2716,N,05/11/2021 12:26:00 AM,05/11/2021,26,05/11/2021 12:26:00 AM,05/11/2021,26,DRUG STORE / DR. OFFICE / HOSPITAL,1201 W 38TH ST,78705,10,BA,3,344,2,C,05/11/2021,,,3113183,3113183,30.30490831,-97.74539945,"(30.30490831, -97.74539945)"
20205007101,BURGLARY OF VEHICLE,601,N,02/18/2020 10:00:00 PM,02/18/2020,2200,02/19/2020 12:11:00 PM,02/19/2020,1211,PARKING LOTS / GARAGE,508 ELMWOOD PL,78705,9,BA,1,347,,N,03/04/2020,23F,Theft,3117027,3117027,30.29092039,-97.73359181,"(30.29092039, -97.73359181)"
2020330750,TERRORISTIC THREAT,2704,N,02/02/2020 07:58:00 AM,02/02/2020,758,02/02/2020 11:30:00 AM,02/02/2020,1130,RESIDENCE / HOME,E 30TH ST / COLE ST,78705,9,BA,1,348,4,N,02/05/2020,,,3119817,3119817,30.28820089,-97.72482301,"(30.28820089, -97.72482301)"
202061546,AGG ASLT STRANGLE/SUFFOCATE,410,Y,01/06/2020 07:00:00 AM,01/06/2020,700,01/06/2020 07:57:00 PM,01/06/2020,1957,DRUG STORE / DR. OFFICE / HOSPITAL,1201 W 38TH ST,78705,10,BA,3,344,,C,01/16/2020,13A,Aggravated Assault,3113183,3113183,30.30490831,-97.74539945,"(30.30490831, -97.74539945)"
